d_pipe_mean,d_pipe_sigma,d_pipe_low,d_pipe_high,d_pipe_dist_type,t_pipe_mean,t_pipe_sigma,t_pipe_low,t_pipe_high,t_pipe_dist_type,sigma_y_mean,sigma_y_sigma,sigma_y_low,sigma_y_high,sigma_y_dist_type,n_param_mean,n_param_sigma,n_param_low,n_param_high,n_param_dist_type,r_param_mean,r_param_sigma,r_param_low,r_param_high,r_param_dist_type,alpha_backfill_mean,alpha_backfill_sigma,alpha_backfill_low,alpha_backfill_high,alpha_backfill_dist_type,s_u_backfill_mean,s_u_backfill_sigma,s_u_backfill_low,s_u_backfill_high,s_u_backfill_dist_type,gamma_backfill_mean,gamma_backfill_sigma,gamma_backfill_low,gamma_backfill_high,gamma_backfill_dist_type,h_pipe_mean,h_pipe_sigma,h_pipe_low,h_pipe_high,h_pipe_dist_type,phi_backfill_mean,phi_backfill_sigma,phi_backfill_low,phi_backfill_high,phi_backfill_dist_type,delta_backfill_mean,delta_backfill_sigma,delta_backfill_low,delta_backfill_high,delta_backfill_dist_type,op_press_mean,op_press_sigma,op_press_low,op_press_high,op_press_dist_type,soil_type,soil_density,l_anchor_mean,l_anchor_sigma,l_anchor_low,l_anchor_high,l_anchor_dist_type,beta_crossing_mean,beta_crossing_sigma,beta_crossing_low,beta_crossing_high,beta_crossing_dist_type,psi_dip_mean,psi_dip_sigma,psi_dip_low,psi_dip_high,psi_dip_dist_type,slope_mean,slope_sigma,slope_low,slope_high,slope_dist_type,def_length_mean,def_length_sigma,def_length_low,def_length_high,def_length_dist_type,steel_grade,level_to_run
1257.0,0.0,-inf,inf,normal,6.5,0.0,-inf,inf,normal,279000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.5306282510621704,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.090076835776092,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.607271574275357,0.38525317015992666,0.0,inf,lognormal,10.0,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.3501724,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
1257.0,0.0,-inf,inf,normal,6.5,0.0,-inf,inf,normal,279000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.5306282510621704,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.090076835776092,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.595825999817554,0.38525317015992666,0.0,inf,lognormal,30.8,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.3501724,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.578597109233056,0.38525317015992666,0.0,inf,lognormal,10.4,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.61458689585173,0.38525317015992666,0.0,inf,lognormal,10.1,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,3.0106208860477417,0.38525317015992666,0.0,inf,lognormal,95.6,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,3.288401887516811,0.38525317015992666,0.0,inf,lognormal,6.7,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.529429087511423,0.38525317015992666,0.0,inf,lognormal,6.6,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.529825834193874,0.38525317015992666,0.0,inf,lognormal,6.5,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,4.441474093317302,0.38525317015992666,0.0,inf,lognormal,6.3,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.526647444549546,0.38525317015992666,0.0,inf,lognormal,6.2,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.526647444549546,0.38525317015992666,0.0,inf,lognormal,6.4,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.526249434594043,0.38525317015992666,0.0,inf,lognormal,6.8,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,3.0349529867072724,0.38525317015992666,0.0,inf,lognormal,104.6,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,2.917770732084279,0.38525317015992666,0.0,inf,lognormal,105.5,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.255931650051599,0.38525317015992666,0.0,inf,lognormal,15.8,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.240688253711401,0.38525317015992666,0.0,inf,lognormal,15.7,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,3.3843902633457743,0.38525317015992666,0.0,inf,lognormal,15.5,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.210032451680465,0.38525317015992666,0.0,inf,lognormal,15.6,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.216022123821206,0.38525317015992666,0.0,inf,lognormal,15.5,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.218191322068752,0.38525317015992666,0.0,inf,lognormal,15.4,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.215479088239032,0.38525317015992666,0.0,inf,lognormal,15.3,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,3.0349529867072724,0.38525317015992666,0.0,inf,lognormal,104.6,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.60876924,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,2.917770732084279,0.38525317015992666,0.0,inf,lognormal,105.5,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.43507743,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.255931650051599,0.38525317015992666,0.0,inf,lognormal,15.8,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.43507743,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.240688253711401,0.38525317015992666,0.0,inf,lognormal,15.7,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.43507743,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,3.3843902633457743,0.38525317015992666,0.0,inf,lognormal,15.5,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.43507743,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.210032451680465,0.38525317015992666,0.0,inf,lognormal,15.6,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.47330937,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.216022123821206,0.38525317015992666,0.0,inf,lognormal,15.5,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.47330937,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,308000.0,0.0,-inf,inf,normal,8.0,0.0,8.0,inf,normal,50.0,0.0,50.0,inf,normal,0.7,0.1,0.5,1.0,normal,3.871201010907891,0.24622067706923975,-2.3025850929940455,inf,lognormal,2.9444389791664403,0.049968792246632754,2.772588722239781,3.068052935133617,lognormal,0.26236426446749106,0.0997513451195927,-0.5108256237659907,1.791759469228055,lognormal,,0.08981854528859166,3.4011973816621555,3.912023005428146,lognormal,,0.1,0.5,1.0,normal,7.170119543449628,0.0997513451195927,-inf,9.532423871145296,lognormal,clay,soft,5.218191322068752,0.38525317015992666,0.0,inf,lognormal,15.4,20.0,-180.0,360.0,normal,45,10.0,15.0,90.0,normal,0.3501724,0.049968792246632754,-inf,inf,lognormal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,"""NA""",3
